title,pmid,abstract,indice
A study of the effect of roasting on the chlorogenic acid composition of coffee using HPLC,NA,NA,1156
Chlorogenic acid composition of instant coffees,6721155,NA,1157
Simultaneous determination of total chlorogenic acid and caffeine in coffee bij high performance gel filtration chromatography,NA,NA,1158
"The absorption, metabolism and excretion of flavan-3-ols and procyanidins following the ingestion of a grape seed extract by rats",16115350,"Rats were fed a grape seed extract (GSE) containing (+)-catechin, (-)-epicatechin and dimers, trimers, tetramers and polymeric procyanidins. Liver, kidney, brain and gastrointestinal (GI) tract together with plasma, urine and faeces were collected over a 24 h period and their flavan-3-ol content was analysed by HPLC with tandem mass spectrometry and diode array detection. Small amounts of the GSE flavan-3-ols moved out of the stomach and into the duodenum/jejunum, and to a greater extent the ileum 1 h after ingestion, and into the caecum after 2 h with relatively small amounts being detected in the colon after 3 h. The GI tract contained the parent GSE flavan-3-ols and procyanidins with only trace amounts of metabolites and there were no indications that proanthocyanidins were depolymerised in the GI tract releasing monomeric flavan-3-ols. Plasma contained exclusively catechin glucuronides and methylated glucuronide metabolites which were also detected in the liver and kidneys. These metabolites were also present in urine together with sulphated metabolites and low amounts of the procyanidin dimers B1, B2, B3 and B4 as well as the trimer C2 and an unknown GSE trimer. The amounts of (+)-catechin and (-)-epicatechin metabolites excreted in urine relative to the quantity of the monomers ingested were 27 and 36 %, respectively, after 24 h. This is similar to the levels of urinary excretion reported to occur by other investigators after feeding (-)-epicatechin to rats and provides further, albeit indirect, evidence that the procyanidin oligomers in the GSE were not depolymerised to monomers to any extent after ingestion. No convincing analytical data were obtained for the presence of flavan-3-ol metabolites in the brain.",1159
"Free and conjugated myricetin, quercetin, and kaempferol in Bulgarian red wines",NA,NA,1160
Polyphenolic profiles in eight apple cultivars using high-performance liquid chromatography (HPLC),14518966,"Polyphenolic compounds of apple may play an important role in physiologic functions related to human health. Different polyphenolics may have varied biological activities including antioxidant activity. The objective of this study was to investigate the profiles of polyphenolic compounds in different apple varieties and different parts of an apple. The total and individual polyphenolics differed significantly among the eight apple cultivars grown in Ontario, and the peels had higher concentrations than the flesh. Among the tested cultivars, Red Delicious and Northern Spy had the highest concentrations and Empire the lowest. Five major polyphenolic groups with a total of 16 identified individual compounds were found, among which the dihydroxycinnamic acid esters, phloretin glycosides, and flavan-3-ols were found in both flesh and peel, whereas quercetin glycosides were almost exclusively found in the peel. Cyanidin 3-galactoside was unique to and found only in red apple peels. In both apple peel and flesh, the predominant group of polyphenolics was the procyanidins, followed by quercetin glycosides in the peel and hydroxycinnamic acid esters in the flesh. 3-Hydroxyphloretin 2'-xyloglucoside was newly identified in apple. The results obtained in this study will further the understanding of the polyphenolic composition of apples and their roles in health-promoting physiological functions.",1161
Absorption and metabolism of cyanidin 3-O-beta-D-glucoside in rats,10338127,"We have clarified for the first time how cyanidin 3-O-beta-D-glucoside (C3G), which is a potent antioxidant anthocyanin, is absorbed and metabolized in vivo. Rats were orally administered C3G (0.9 mmol/kg body weight), and C3G rapidly appeared in the plasma. However, the aglycon of C3G (cyanidin; Cy) was not detected, although it was present in the jejunum. Protocatechuic acid (PC), which may be produced by degradation of Cy, was present in the plasma and the concentration was 8-fold higher than that of C3G. These results suggest that plasma PC and C3G may contribute to the antioxidant activity of the plasma. In the liver and kidney, C3G was metabolized to methylated C3G (methyl-C3G), suggesting that C3G and/or methyl-C3G act as antioxidants in the tissues.",1162
Flavonoid in fruits and vegetables. II. Content of flavonol glucosides and some properties of enzymes metabolizing the glucosides in onion,NA,NA,1163
Determination of antioxidant compounds and antioxidant activity in commercial oilseeds for food use,NA,NA,1164
"Structural characterization of the metabolites of hydroxytyrosol, the principal phenolic component in olive oil, in rats",11929304,"Hydroxytyrosol is quantitatively and qualitatively the principal phenolic antioxidant in olive oil. Recently it was shown that hydroxytyrosol and five metabolites were excreted in urine when hydroxytyrosol was dosed intravenously or orally in an olive oil solution to rats. The conclusive identification of three metabolites of hydroxytyrosol by MS/MS as a monosulfate conjugate, a 3-O-glucuronide conjugate, and 4-hydroxy-3-methoxyphenylacetic acid (homovanillic acid) has been established in this investigation. The structural configurations of the glucuronide conjugate and 4-hydroxy-3-methoxyphenylacetic acid were confirmed by (1)H NMR. The radical scavenging potencies of homovanillic acid, homovanillic alcohol, hydroxytyrosol, and the metabolites were examined with the radical 2,2-diphenyl-1-picrylhydrazyl. These studies showed them to be potent antioxidants with SC(50) values of 14.8 and 11.4 microM for homovanillic acid and homovanillic alcohol, respectively. The 3-O-glucuronide conjugate was more potent than hydroxytyrosol, with an SC(50) of 2.3 in comparison to 11.0 microM, and the monosulfate conjugate was almost devoid of radical scavenging activity.",1165
Induction of antioxidant flavonol biosynthesis in fresh-cut potatoes. Effect of domestic cooking,12358461,"The effect of fresh-cutting and subsequent cold storage on phenolic compounds from five long-term-stored potato cultivars (Agria, Cara, Liseta, Monalisa, and Spunta) was studied. Fresh-cutting induced the biosynthesis of three flavonols, which were identified by HPLC-DAD-ESIMS as quercetin 3-rutinoside, quercetin 3-diglucoside, and quercetin 3-glucosylrutinoside. The flavonols were detected after a lag period of 3 days of cold storage. The content ranged from 6 to 14 mg/100 g of fresh weight depending on the cultivar after 6 days of storage. Chlorogenic acid as the main caffeic acid derivative and the amino acids tyrosine and tryptophan were also quantified. The effect of cold storage under light or in dark was studied with new-season-harvested Monalisa potatoes. The flavonol induction was higher in fresh-cut potatoes stored under light than in the dark. However, caffeic acid derivatives were not affected. Domestic cooking such as boiling, microwaving, and frying provoked a partial loss of the flavonols, which were retained in the range of 4-16 mg per serving (213 g). Steam-cooking resulted in the highest retention of caffeic acid derivatives and aromatic amino acids compared with the other cooking methods studied. This means that due to the large amount of potatoes consumed in the Western diet, fresh-cut potatoes can be a significant source of health-promoting phenolics.",1166
